"172.16.1.14","172.16.3.11","172.16.4.13","172.16.2.12","172.16.2.2","172.16.1.3","172.16.4.9"
2.50,2.00,3.00,2.01,2.51,1.01,26.00
0.51,2.01,1.01,1.01,3.03,0.50,2.02
2.51,2.49,2.53,2.02,3.50,1.01,1.00
1.01,2.00,1.49,1.01,0.50,0.50,2.02
2.03,2.50,2.53,5.03,2.01,1.01,1.52
5.03,1.50,1.01,1.01,1.51,0.00,2.01
2.01,2.50,2.00,2.51,2.01,1.50,1.50
1.01,1.99,1.00,11.62,1.00,1.01,2.02
2.00,16.58,2.00,2.54,2.02,1.51,4.50
1.01,2.01,3.54,1.51,2.51,0.50,2.01
2.02,2.50,3.02,4.04,2.51,1.51,1.52
1.01,1.99,1.00,1.01,1.50,0.50,3.02
3.03,2.01,3.52,2.02,3.02,1.01,1.51
1.01,1.99,8.08,1.01,1.50,0.50,2.51
17.26,1.99,4.55,2.02,5.03,0.50,1.51
3.52,4.00,1.01,1.01,1.51,0.50,2.51
2.01,2.49,5.53,3.05,4.52,1.01,1.01
1.01,1.00,1.51,1.01,0.51,0.50,2.51
2.02,2.49,2.51,2.51,2.53,1.01,2.00
2.01,1.00,1.01,1.01,1.00,0.50,6.06
4.02,2.00,3.48,2.02,2.53,3.54,11.06
1.01,1.01,1.01,1.51,1.01,0.50,1.51
2.02,4.00,2.51,1.51,2.99,1.01,1.01
1.01,1.98,1.01,3.54,1.00,0.50,2.51
3.03,1.99,1.52,2.02,1.52,6.03,1.51
5.03,1.49,1.51,1.51,1.50,0.00,2.51
1.52,2.50,2.51,2.02,17.09,1.00,0.51
1.01,1.49,1.01,1.01,1.01,0.50,2.00
2.50,4.52,2.51,2.01,1.52,1.00,4.55
1.01,1.50,1.00,1.01,1.50,0.50,2.50
3.02,2.51,5.03,2.03,2.51,2.51,0.50
0.51,1.00,2.51,0.50,1.52,0.50,2.01
1.51,2.51,2.53,2.01,2.51,0.50,1.00
1.01,1.50,1.01,1.01,1.52,0.50,2.51
2.53,2.50,2.02,2.02,2.50,1.01,1.00
2.51,1.50,0.50,1.01,0.51,5.50,0.50
2.01,1.50,2.01,1.52,2.00,8.50,0.50
1.01,1.01,2.02,14.00,1.01,0.00,2.01
2.01,15.08,5.00,3.03,31.16,1.50,2.02
1.01,2.51,1.01,1.51,1.50,0.50,2.01
5.53,1.51,2.01,2.02,1.51,1.50,1.01
1.00,1.50,1.50,1.01,1.51,0.00,2.01
1.52,3.52,2.02,1.50,3.02,2.01,1.00
1.51,1.51,10.55,1.01,1.00,0.50,4.55
12.18,2.00,9.09,3.55,2.02,1.01,1.02
3.52,1.50,1.01,3.50,1.00,0.50,2.50
19.80,6.00,29.15,26.63,1.52,6.03,1.01
3.50,24.62,3.03,0.51,27.27,8.04,27.64
5.05,2.50,2.53,2.50,2.51,1.00,1.51
0.51,1.50,1.01,1.02,1.00,0.50,3.52
